"DateTime","Auction Current Vintage - Spot - ARB","Auction Future Vintage - Spot - ARB","CCA - Front December - ICE","CCA - Spot - Evolution Markets","CCO3 - Spot - Evolution Markets","CCO8 - Spot - Evolution Markets","DEBS CCO-0 – Front Month – Nodal","Floor - Spot - ARB","Golden CCO - Spot - Evolution Markets"
"2016-05-04",,,12.7,12.6,10.95,10.33,,12.73,11.47
"2016-05-05",,,12.82,12.72,10.95,10.33,,12.73,11.47
"2016-05-06",,,12.8,12.7,10.95,10.33,,12.73,11.47
"2016-05-09",,,12.74,12.63,10.95,10.25,,12.73,11.6
"2016-05-10",,,12.69,12.58,10.95,10.25,,12.73,11.6
"2016-05-11",,,12.63,12.53,10.95,10.25,,12.73,11.6
"2016-05-12",,,12.56,12.46,10.95,10.25,,12.73,11.6
"2016-05-13",,,12.56,12.46,10.95,10.25,,12.73,11.47
"2016-05-16",,,12.5,12.4,10.95,10.25,,12.73,11.47
"2016-05-17",,,12.48,12.38,10.95,10.25,,12.73,11.47
"2016-05-18",12.73,12.73,12.49,12.4,10.78,10.2,,12.73,11.43
"2016-05-19",,,12.5,12.41,10.78,10.2,,12.73,11.43
"2016-05-20",,,12.49,12.4,10.78,10.2,,12.73,11.43
"2016-05-23",,,12.43,12.34,10.78,10.2,,12.73,11.45
"2016-05-24",,,12.43,12.35,10.78,10.2,,12.73,11.45
"2016-05-25",,,12.45,12.37,10.78,10.2,,12.73,11.45
"2016-05-26",,,12.46,12.37,10.78,10.2,,12.73,11.45
"2016-05-27",,,12.46,12.37,10.78,10.2,,12.73,11.45
"2016-05-31",,,12.49,12.37,10.78,10.2,,12.73,11.45
"2016-06-01",,,12.51,12.44,10.78,10.2,,12.73,11.45
"2016-06-02",,,12.56,12.5,10.78,10.2,,12.73,11.45
"2016-06-03",,,12.52,12.46,10.78,10.2,,12.73,11.45
"2016-06-06",,,12.55,12.49,10.78,10.2,,12.73,11.45
"2016-06-07",,,12.59,12.53,10.78,10.2,,12.73,11.45
"2016-06-08",,,12.6,12.54,10.6,10,,12.73,11.38
"2016-06-09",,,12.69,12.63,10.5,10,,12.73,11.38
"2016-06-10",,,12.68,12.62,10.5,10,,12.73,11.38
"2016-06-13",,,12.65,12.6,10.5,10,,12.73,11.38
"2016-06-14",,,12.64,12.59,10.5,10,,12.73,11.43
"2016-06-15",,,12.62,12.58,10.5,10,,12.73,11.43
"2016-06-16",,,12.61,12.56,10.5,10,,12.73,11.38
"2016-06-17",,,12.64,12.59,10.5,10,,12.73,11.38
"2016-06-20",,,12.64,12.59,10.5,10,,12.73,11.38
"2016-06-21",,,12.68,12.63,10.5,10,,12.73,11.35
"2016-06-22",,,12.67,12.62,10.5,10,,12.73,11.35
"2016-06-23",,,12.67,12.62,10.5,10,,12.73,11.35
"2016-06-24",,,12.67,12.63,10.43,10,,12.73,11.35
"2016-06-27",,,12.67,12.63,10.33,10,,12.73,11.35
"2016-06-28",,,12.67,12.63,10.25,10,,12.73,11.3
"2016-06-29",,,12.65,12.63,10.25,10,,12.73,11.3
"2016-06-30",,,12.68,12.63,10.25,10,,12.73,11.3
"2016-07-01",,,12.68,12.64,10.25,10,,12.73,11.25
"2016-07-05",,,12.67,12.63,10.25,10,,12.73,11.25
"2016-07-06",,,12.68,12.63,10.3,10,,12.73,11.25
"2016-07-07",,,12.69,12.65,10.3,10,,12.73,11.25
"2016-07-08",,,12.69,12.65,10.3,10,,12.73,11.25
"2016-07-11",,,12.69,12.66,10.3,10,,12.73,11.25
"2016-07-12",,,12.72,12.69,10.3,10,,12.73,11.25
"2016-07-13",,,12.71,12.68,10.3,10,,12.73,11.25
"2016-07-14",,,12.71,12.69,10.18,9.38,,12.73,11.15
"2016-07-15",,,12.71,12.7,10.18,9.38,,12.73,11.15
