"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"2019-04-05",-32.8989622207631,38.6604954537489,-37.3122895850088,17.5813821493463,-5.57688523823631,19.3601356859616,0.186123754951375,-37.9816847762471,64.7880674519065,-16.143840511476,17.4524993076661,-4.53691998190455,-16.8412300050874,-6.73689148485758,-7.68014111614518,72.0144014373275,-13.1568375327138,4.67592739314652,-35.3762837073594,5.90403328994955,-26.3810997642053
"2019-04-12",-32.2950628646954,38.3347327024037,-36.9168705397262,14.8991867235445,-6.0425243688183,22.3131672790191,-0.292628931727382,-39.6056620417978,63.0407590175249,-14.727095824872,14.6449057023336,-4.60221313896161,-13.55724045609,-5.19345325813706,-6.16342801963791,65.3730825965237,-14.3555917151359,10.2406557226883,-37.0295164756718,7.55674777738763,-25.6219498861539
"2019-04-19",-32.3206099037136,42.0157901022659,-32.5916260988644,14.7480396796838,-6.2985671247166,14.3269292703799,0.120044074964994,-34.4079193905428,63.9086107673085,-11.1871131173515,13.4074022760291,-4.92263646450461,-21.5198004577761,-5.27854361316258,-6.59747336556537,66.5198226656192,-9.83289015052535,10.7430663331944,-38.4934856188187,4.85415233691982,-27.1931922008241
"2019-04-26",-32.2173442402349,41.9745974111298,-32.5123881965209,15.022613768451,-6.91239395209128,14.5231066574089,0.121808551857441,-31.8418496349669,63.2362887315245,-10.6336679783213,12.1731896912329,-4.70455643439642,-22.861450150899,-5.36795422417389,-6.56361968299743,68.1561745136531,-9.85607811397459,11.7220823797103,-39.5976771070652,4.7793067273513,-28.6401887166774
"2019-05-03",-32.1456556668568,42.7387474068008,-32.4953537824621,15.2658997047314,-7.32396919780739,14.3666638352937,-0.406332299699553,-29.0187267401752,53.1645590572356,-11.3844471382989,18.0547159791425,-5.08898512679576,-19.5206833233904,-6.20643270771781,-7.58677568142731,65.4792546689083,-10.1421287456823,10.4494689422032,-36.1588602533092,4.89044227210697,-26.9314012027996
"2019-05-10",-32.7042565190277,44.636056849401,-32.0079430357283,9.45424061972201,-3.14980512409874,11.812073170054,1.95963403967773,-29.3718100197223,65.1865058656858,-10.2325474778375,4.99145270557133,-1.04149720939893,-23.3342776426815,-6.19782622161698,-11.266255910716,77.1274823473326,-11.5439664345239,7.32228341074407,-36.1314932459259,1.01562297956714,-26.523673146478
"2019-05-17",-28.3370604677405,41.9629267175975,-27.9247824864091,11.8996983888647,-11.2955029591619,11.4170618920981,2.27765891475121,-25.8431191254827,61.4819396484174,-11.2344148666672,8.21906778923182,-2.01881913913415,-24.2861796629795,-6.31847464338559,-4.19224733928058,87.2020763910296,-9.91846663487551,-15.3712653954921,-41.2267172739999,3.94721149486148,-20.440591242243
"2019-05-24",-29.1389592914534,48.2705398123816,-30.4751668503268,18.2173450911464,-11.0581664404263,2.30051032832823,1.88389735035027,-25.9596694121371,64.8602589732076,-6.01483130450947,3.61766640174114,-3.02898161119391,-26.8605317243581,-6.61391132275014,-4.94477845753804,80.1010960863222,-13.2927947732432,-8.00687533504917,-29.2397877541322,-4.23693450259912,-20.3799252637605
"2019-05-31",-22.1180933075652,35.596856683273,2.20273785891549,8.85318650250394,-6.07884427866217,-15.6659765399785,-2.78986691848655,-23.2958615616758,60.9108540789892,-2.09941035748374,5.18647751209523,-2.61934781108936,-30.2468557668335,-7.83585609400205,-4.29180384348743,82.0627471369962,-5.69788873121197,-7.04314046595689,-28.0114418288784,-15.1197299538636,-21.8987423135979
"2019-06-07",-19.5972001249985,36.5682122276225,0.332664740804227,6.80078621203372,-4.57444809008499,-16.0501660881963,-3.47984887718068,-24.0657484373369,61.1615389002783,-3.80487398222516,5.05387665668676,-2.28938442157675,-29.5440202982073,-6.51138841761891,-4.52625149599662,80.896861228798,-5.46326172704758,-4.48015125048174,-28.2793652982642,-15.7528555957464,-22.3949758612614
